47.65325766	-122.3057401	2004-06-08 08:17:14
47.65327348	-122.3057868	2004-06-08 08:17:15
47.65328387	-122.3057651	2004-06-08 08:17:16
47.65314606	-122.3061096	2004-06-08 08:17:17
47.65308834	-122.3061437	2004-06-08 08:17:18
47.6530816	-122.3061097	2004-06-08 08:17:19
47.65300039	-122.3060162	2004-06-08 08:17:21
47.65297056	-122.3060374	2004-06-08 08:17:22
47.65295681	-122.3059412	2004-06-08 08:17:23
47.65301744	-122.3059467	2004-06-08 08:17:24
47.6530498	-122.3059368	2004-06-08 08:17:25
47.65304291	-122.3059505	2004-06-08 08:17:26
47.65318121	-122.3061122	2004-06-08 08:17:27
47.65320948	-122.3062147	2004-06-08 08:17:28
47.65320817	-122.3062092	2004-06-08 08:17:29
47.65322105	-122.306249	2004-06-08 08:17:30
47.65323227	-122.3062553	2004-06-08 08:17:31
47.65327824	-122.3062549	2004-06-08 08:17:32
47.65330342	-122.3062489	2004-06-08 08:17:33
47.65331607	-122.306214	2004-06-08 08:17:34
47.65331389	-122.306177	2004-06-08 08:17:35
47.65332537	-122.3061645	2004-06-08 08:17:36
47.6532914	-122.3061675	2004-06-08 08:17:37
47.65325436	-122.3061457	2004-06-08 08:17:38
47.65321392	-122.3061024	2004-06-08 08:17:39
47.65318784	-122.3061235	2004-06-08 08:17:40
47.65319952	-122.3061736	2004-06-08 08:17:41
47.6532497	-122.3062196	2004-06-08 08:17:42
47.6532648	-122.3062391	2004-06-08 08:17:43
47.65329952	-122.3062483	2004-06-08 08:17:44
47.65331639	-122.3062381	2004-06-08 08:17:45
47.6533125	-122.3062304	2004-06-08 08:17:46
47.65330825	-122.306213	2004-06-08 08:17:47
47.6533116	-122.3061934	2004-06-08 08:17:48
47.653343	-122.3062232	2004-06-08 08:17:49
47.65335831	-122.3062491	2004-06-08 08:17:51
47.65337754	-122.3062351	2004-06-08 08:17:52
47.65332775	-122.3062504	2004-06-08 08:17:53
47.65327663	-122.3062675	2004-06-08 08:17:54
47.65325956	-122.3062619	2004-06-08 08:17:55
47.65318881	-122.3062424	2004-06-08 08:17:56
47.65320357	-122.3062718	2004-06-08 08:17:57
47.65326269	-122.3062886	2004-06-08 08:17:58
47.65328111	-122.306284	2004-06-08 08:17:59
47.65326587	-122.3062952	2004-06-08 08:18:00
47.65328197	-122.3062662	2004-06-08 08:18:01
47.65329845	-122.3062587	2004-06-08 08:18:02
47.65329465	-122.3062265	2004-06-08 08:18:03
47.65327516	-122.3062633	2004-06-08 08:18:04
47.65325847	-122.3062508	2004-06-08 08:18:05
47.65326442	-122.3062507	2004-06-08 08:18:06
47.65326716	-122.3062406	2004-06-08 08:18:07
47.65327372	-122.3062266	2004-06-08 08:18:08
47.65328684	-122.3062231	2004-06-08 08:18:09
47.65331764	-122.306228	2004-06-08 08:18:10
47.65334157	-122.3062204	2004-06-08 08:18:11
47.65334107	-122.3061954	2004-06-08 08:18:12
47.65333906	-122.3061755	2004-06-08 08:18:13
47.65333489	-122.3061631	2004-06-08 08:18:14
47.65333684	-122.3061643	2004-06-08 08:18:15
47.65333251	-122.3061628	2004-06-08 08:18:16
47.65332996	-122.3061708	2004-06-08 08:18:17
47.65333349	-122.3061807	2004-06-08 08:18:18
47.65333081	-122.3061774	2004-06-08 08:18:19
47.65332422	-122.3061886	2004-06-08 08:18:20
47.65332971	-122.3061852	2004-06-08 08:18:21
47.65332014	-122.3062021	2004-06-08 08:18:22
47.65331854	-122.3061718	2004-06-08 08:18:23
47.65331976	-122.3061807	2004-06-08 08:18:24
47.65331616	-122.306194	2004-06-08 08:18:25
47.65333839	-122.3061903	2004-06-08 08:18:26
47.65334371	-122.3062102	2004-06-08 08:18:27
47.65335452	-122.3062195	2004-06-08 08:18:28
47.65336529	-122.3062486	2004-06-08 08:18:29
47.65336834	-122.3062455	2004-06-08 08:18:30
47.65337426	-122.306244	2004-06-08 08:18:31
47.65337002	-122.3062257	2004-06-08 08:18:32
47.65337492	-122.3062359	2004-06-08 08:18:33
